,Komentar,Sentimen
312,first and best cashtokens marketplace,Negatif
314,ribut mulu urusan cuan dan jabataniuran lancar kerja gak jelasbanyak guru gak jelas nasibnya tuhsertifikasi gak merata guru tua yg lama mengabdi gak dpt guru baru pada lolos sertifikasimarketplace guru dll,Negatif
315,sekalinya kerja keluar cetusan marketplace guru ,Negatif
316,tujuan marketplace guru harus sejalan dengan program pemda ,Negatif
318,pgri ntb marketplace guru harus sejalan dengan pemerintah daerah ,Negatif
320,sistem marketplace dinilai bukan solusi putus antrean calon guru pppk ,Negatif
321,cegah nepotisme dan kolus marketplace guru harus didukung payung hukum ,Positif
322,marketplace guru berpotensi timbulkan praktik kolusi dan nepotisme ,Negatif
323,kemendikbud dibanding bikin marketplace guru mening urusin biaya ukt univ didepok dulu ga sih anak snbp dpt  juta apa ga pingsan ha ini dari temen yang keterima vok ui snbp,Negatif
324,wacana untuk mengintegrasikan rekrutmen marketplace guru menuai berbagai reaksi bagaimana tanggapan sivitas akademika unmul selengkapnya  lpm sketsa unmul semangat berbagi dan menginspirasi  ,Negatif
325,perekrutan model marketplace jadikan guru sebagai komoditi mekanisme pasar  ,Negatif
326,ada paylater di marketplace guru gak ya biar bisa pakai jasa guru bayarnya dicicil gitu kan mayan tuh buat sekolah yang dana operasionalnya minim tapi pengen punya guru dengan spesifikasi yang mumpuni,Negatif
328,konsep marketplace guru dinilai harus libatkan guru honorer ,Negatif
329,fgbsn khawatir ada paylater dalam sistem marketplace guru ,Negatif
330,komisi x dpr ri minta kemdikbud untuk mengkaji ulang tentang wacana marketplace guru ,Negatif
331,marketplace guru gmnngurusi apaan sih ininasib guru yg blm sejahterablm mndpt kejelasan status gmniuran pgri mengalir trus nasib gak diurus,Negatif
332,masuk sistem marketplace guru harus bersedia ditempatkan di daerah t ,Negatif
335,soal marketplace guru fsgi minta pemerintah benahi regulasi ,Negatif
336,masuk sistem marketplace guru disebut harus mau ditempatkan di daerah t ,Negatif
337,marketplace guru jadi solusi bagi perekrutan tenaga pengajar ,Positif
338,wacana soal marketplace guru harus dikaji ulang oleh pemerintah    ,Negatif
339,nasdem meminta pemerintah untuk mengkaji ulang wacana marketplace guru    ,Negatif
341,nasdem minta pemerintah kaji ulang wacana marketplace guru    ,Negatif
342,mendikbudristek usulkan pembentukan marketplace guru pada  konsepnya sudah ada di indonesia ,Negatif
343,nasdem meminta pemerintah kaji ulang wacana marketplace guru    ,Negatif
344,hooh pak tolong guru dulu ini di pikirin nasibnya masih ntah mau kemana apalagi yang udh tua tua serba bingung pas tau model nya mau marketplace ,Negatif
345,menurut komisi x dpr ri mekanisme marketplace guru tidak pantas karena seakanakan menjadikan guru sebagai sebuah komoditi yang bergantung pada mekanisme pasar ,Negatif
347,marketplace guru guys   guru ,Negatif
348,marketplace guru bisa menjadi ajang kolusi rekrutmen tenaga pendidik ,Negatif
349,mengkaji ulang wacana marketplace guru itu memang sangat perlu    ,Negatif
351,nah ini nih setuju nih kaji ulang wacana perekrutan guru dengan model marketplace    ,Negatif
352,setuju nih kaji ulang wacana perekrutan guru dengan model marketplace    ,Negatif
354,rencana marketplace guru ,Positif
355,dinilai kurang pas bu ratih megasari singkarru meminta badan pemerintahan yang terkait mengkaji ulang wacana marketplace guru     ,Negatif
356,bu ratih megasari meminta kementerian pendidikan kebudayaan riset dan teknologi kemendikbudristek mengkaji ulang wacana perekrutan guru dengan model marketplace     ,Negatif
357,anggota dpr ri dari fraksi partai nasdem bu ratih megasari singkarru meminta pemerintah mengkaji ulang wacana marketplace guru     ,Negatif
358,kemendikbud mesti mengkaji ulang wacana perekrutan guru dengan model marketplace    ,Negatif
361,ratih megasari singkarru meminta kemdikbud mengkaji ulang wacana perekrutan guru dengan modal marketplace    ,Negatif
362,dpr meminta kementerian pendidikan kebudayaan riset dan teknologi kemendikbudristek mengkaji ulang wacana perekrutan guru dengan model marketplace ,Negatif
363,jadi paham kenapa perlu marketplace guru,Positif
364,apa pendapat lo tentang marketplace guru,Positif
365,bu ratih meminta kemendikbud mengkaji ulang wacana perekrutan guru dengan model marketplace    ,Negatif
367,marketplace guru tak cocok pemerintah diminta fokus pemerataan ,Negatif
368,kendala internet pakar pendidikan nilai marketplace guru tak cocok di indonesia ,Negatif
371,marketplace guru bukan solusi distribusi yang menjadi tantangan ,Negatif
372,ketua komisi x marketplace guru bisa efektif jika akar persoalan guru honorer tuntas ,Positif
373,saya mengusulkan konsepnya bukan marketplace tapi ruang talenta atau database talent jadi bukan guru sebagai produk atau objek melainkan sebagai subjek keadilan bagi guru harus diutamakan kita harus tetap menjunjung tinggi nilai profesi guru yang tidak bisa disetarakan dengan nilai barang dagangan  dede yusuf  ,Negatif
374,dengan adanya marketplace atau ruang talenta guru guru honorer sudah tidak ada lagi semua kesejahteraan akan terjamin karena mereka semua adalah pekerja jika kotraknya habis tinggal daftar lagi di marketplace ,Negatif
375,penjelasannya sangat jelas sekali marketplace atau ruang talenta guru membantu sekolah untuk rekurt guru jika ada kekosongan jdi tdk perlu tunggu seleksi setahun sekali ,Positif
376,marketplace guru yang akan dtng sebaiknya dicegah juga,Negatif
377,marketplace guru masih masuk dong,Positif
378,ada puluhan ribu guru p yg sudah nunggu nasibnya tanpa kejelasan selama th termasuk aku n mhon maaf suka kessel sama pak mentri yg tidak jelas apalagi wacana marketplace guru,Negatif
379,sedikit kaget dengan nama konsepnya marketplace guru dari namanya saja seperti kurang etis ya memandang guru adalah profesi yang dipandang mulia kita butuh solusi tuntas untuk setiap permasalahan yg ada terkhusus untuk persoalan ini jawabannya penerapan islam secara kaffah,Negatif
380,rekrutmen marketplace guru berpotensi munculkan praktik kkn ,Negatif
381,sepakat  figur guru adalah pendidik bkn hanya mengajar pendidik yg dihadapi benda hdp manusia yg akan dihasilkan manusia yg cerdas bermoral dll jd tdk bisa disamakan dgn barang kritik usulan marketplace guru dede yusuf ini profesi bukan barang ,Negatif
382,the holy grail of fb aff crazy epc max cart value  this just took the marketplace by storm aff getting  epc works on any traffic killer copy made by gurus will make you rich almostguaranteed this month lets go ,Negatif
383,tp ini aku mikir begini karna posisi kebetulan lg rame jg yg masalah korupsi di kemdikbud dan soal marketplace guru itu,Negatif
384,rekrutmen lewat marketplace bukan solusi pemerataan guru ,Negatif
385,bener sih rada kecewa sama idenya yg mau bikin marketplace guru,Negatif
386,kritik usulan marketplace guru dede yusuf ini profesi bukan barang ,Negatif
387,wacada dan ide nadim soal marketplace buat guru sangat tidak menghargai guru dan menyamakan guru denga barang produksi yang disimpan dalam etalase  wadah  pengabdian guru dianaikan begitu saja soal pppk saja sudah mencedrai martabat guru tolong kerja dari aspirasi bukan ide,Negatif
389,soal marketplace guru pgri butuh kajian mendalam ,Negatif
390,guru besar upi sebut marketplace guru tak menyelesaikan akar persoalan ,Negatif
391,marketplace guru dinilai solusi perekrutan tenaga guru ,Positif
392,pgri marketplace guru tak bisa diterapkan di seluruh sekolah ,Negatif
393,kontroversi marketplace guru solusi atau sensasi   lewat ,Negatif
394,aaaa makasi kak dulll lg hectic per uas an sekaligus bumbu ngrasa salah jurusan gr marketplace guru nih makin bingung ak,Negatif
396,marketplace guru jadi pak,Positif
397, marketplace guru mampukah menyolusi kebutuhan tenaga pendidik penulis noor afeefa kebutuhan tenaga pendidik guru masih menjadi problem serius dunia pendidikan di indonesia selengkapnya di  ,Negatif
398,guru marketplace ya mentri dan pejabat marketplace dong ngebangun ikn pake tenaga asing pejabat buat bangun negara tenaga asing gk siiiih biar ada peningkatan kualitas ,Negatif
399,guru adalah profesi mulia demokrat tolak ide penempatan guru di marketplace  ,Negatif
402,marketplace guru antara esensi dan ambisi  ,Negatif
403,kebijakan marketplace guru tak bisa atasi persoalan mendasar guru ,Negatif
404,kan udah mau di buat marketplace guru jadi guru di jual tp paling yg di ambil guru guru orang dalam,Negatif
405,pengamat kritik ltemgtmarketplaceltemgt guru tenaga pendidik akan diperlakukan seperti komoditas ,Negatif
406,terapkan marketplace guru pengamat guru akan diperlakukan seperti komoditas ,Negatif
407,tp jga ga adil si pas viralnya gaji guru yg pada sedikit gada tu beritarencana gajinya mau dinaikkan malah yg muncul rencana rekrut guru sperti marketplace,Negatif
408,pengamat kritik marketplace guru tenaga pendidik akan diperlakukan seperti komoditas ,Negatif
409,semua bisa dibereskan dengan marketplace guru ,Positif
410,julid karena kondisi yg disinggung itu fakta berapa banyak gaji guru honorer yg bekerja di sekolah negeri yg tidak diperhatikan solusinya marketplace guru,Positif
411,true banget bingung sama kurikulum²nya administrasinya banyak blm lagi dia bilang sekolah bisa pilih guru dari marketplace dia gk menghargai tugas mulia seorang guru dia pikir guru itu item di ecommerce ya gini klo bakul disuruh jadi menteri,Negatif
412,sites russos que os gurus estão escondendo de você  dessa você não sabia               ,Negatif
413,i wouldnt say venus never settles  its mooltrikon is literally libra libra denotes marketplaces opposition court all these places require negotiation and compromise as venus is a guru itself it has the wisdom to understand when and where to compromise,Negatif
414,lagi sibuk marketplace guru kaa bingung juga ppdb setahun sekali tapi evaluasi keliatan minim banget keliatan cuman ngotak ngatik kuota penerimaan aja yg dirasain itupun sekolah yg nentuin jatah rapot makin berkurang zonasi sama jalur belakang pun makin banyak,Negatif
415,emang kadang nadiem bener bikin guru masuk marketplace kalau begini ,Negatif
416,tonton selengkapnya di youtube pabelan tv             ,Negatif
417,marketplace perekrutan guru sendiri merupakan basis data guru yang didukung oleh teknologi di mana semua sekolah bisa mengakses calon guru untuk mengajar di sekolah salah satu dampak baik yang dijelaskan terkait pelaksanaan progam ini,Positif
419,wacana marketplace guru menimbulkan berbagai reaksi dan opini publik apakah permasalahan pemerataan tenaga pendidik akan membaik dengan adanya marketplace guru  ,Negatif
421,apakah pemerataan tenaga didik di indonesia dapat di atasi melalui marketplace guru ,Positif
422,tvr   komisi x dpr ri  wacana marketplace guru kemendikbudristek berencana membuat program marketplace guru untuk memenuhi persebaran guru di indonesia komisi x dpr ri berharap kebutuhan guru di daerah terpencil    ,Positif
425,saya mengusulkan konsepnya bkn marketplace tapi ruang talenta atau database talent jadi bkn guru sbg produk atau objek melainkan sbg subjek keadilan bagi guru hrs diutamakan harus tetap menjunjung tinggi nilai profesi guru yg tdk bisa disetarakan dgn nilai barang dagangan ,Negatif
426,tolak pengibaratan guru sebagai objek demokrat usulkan konsep ruang telanta bagi guru saya mengusulkan konsepnya bukan marketplace tapi ruang talenta atau database talent jadi bukan guru sebagai produk atau objek melainkan sebagai subjek keadilan bagi guru harus diutamakan kita harus tetap menjunjung tinggi nilai profesi guru yang tidak bisa disetarakan dengan nilai barang dagangan dede yusuf wakil ketua komisi x fraksi partai demokrat ,Negatif
427,fraksi pks dprd sumut tak setuju kemendikbudristek pakai istilah marketplace guru ini alasannya  ,Negatif
428,ruang talenta guru akan memiliki konsep bukan marketplace tapi ruang talenta atau database talent  ,Positif
429,lanyalla tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa ,Negatif
430,syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated ,Negatif
432,hari ini marketplace sekolah bebas memilih guru sesuai dengan kebutuhan negara tak ikut campur,Positif
433,sekaligus jadi penyidik detektif jaksa penuntut umum hakim ustadz polisi guru ngaji guru bahasa arab dan juga jadi kurir marketplace,Negatif
434,guru sekarang susah mbak harus ppg dan marketplace itu ribet sabar ya kalau mau jadi guru,Negatif
436, find your notion niche identify a specific area where your notion skills shine are you a productivity guru or a workflow wizard narrowing down your expertise will help you stand out in the crowded marketplace    ,Negatif
437,apkah solusi ini muncul krena sulitnya mncari guru knp bisa sulit karena mungkin gk sejahtera hidupnya jdi emng harusnya dbenerin dlu kesejahteraannya baru bkin marketplace guru tapi ya namanya manusia suka kebalik gpp marketplace dlu aj paling ga ad gurunya jg ,Negatif
438,akhirnya sekarang mendikbud nya cari guru di marketplace  dobol ,Negatif
439,partai amanat nasional mengkritisi rencana sistem rekrutmen guru pegawai pemerintah dengan perjanjian kerja asn pppk melalui marketplace menurut pan hal itu bertentangan dengan apa yang sudah ada sekarang dan menyulitkan birokasi guru terutama dengan adanya sistem administrasi pangkalan atau sekolah induk guruguru sudah terikat aturan yang diterbitkan oleh kemendikbud maupun kemenag terkait undangundang sertifikasi guru mereka punya tupoksi dan terikat dengan sekolah induk di mana mereka berada jadi program rekrutmen guru dengan cara demikian sangat sulit dilakukan ,Negatif
440,secara definisi marketplace guru adalah platform yang mempertemukan guru dengan instansi sekolah yang sedang membutuhkan tenaga pengajar ,Positif
443,soal wacana marketplace guru kemendikbud begini kata sekjen pan ,Positif
445,marketplace guru mewujudkan solusi efektif kesejahteraan dan ketersediaan guru selengkapnya ,Positif
446,mau dibuat marketplace atau tdk yg menjadi problem terbesar di pendidikan itu khan kualitas guru sementara rekrutmen guru negeri amp swasta kita tahulah bagaimana prosesnya salam literasi,Positif
447,marketplace guru mewujudkan solusi efektif kesejahteraan dan ketersediaan guru ,Positif
448,attention sailors  share opportunity the current owner is selling a  share of inuka a  jeanneau sun odyssey ds for  usd for more boat photos and info visit the listing at boat guru marketplacegtgt  ,Negatif
449,utilities of  are generate smart contract ai  bot ai  signals  marketplace guru auditor more details   check   via a telegram poweredbot     ,Negatif
450,pola rekrutmen juga berpotensi mengesampingkan guru honorer yang sudah tua pihak sekolah cenderung memilih guru muda sehingga nasib para guru honorer makin terabaikan mestinya proposal dari sekjend pan paling tepat sejahterakan dulu honorernya baru ide marketplace diwujukan,Negatif
451,marketplace guru lebih fokus ke distribusi guru dan rekrutmen guru disekolah yang membutuhkan bukan kesejahteraan para guru hal ini malah bisa menimbulkan masalah baru subjektivitas dan potensi kesenjangan kualitas tenaga pendidik antar wilayah makin tinggi,Negatif
453,marketplace diurus kesejahteraan guru kagak,Negatif
454,fraksi pks dprd sumut tak setuju kemendikbudristek pakai istilah marketplace guru ini alasannya ,Negatif
456,pgri kalau gaji diserahkan sekolah marketplace justru berbahaya untuk guru ,Negatif
457,apa itu marketplace guru yang disebutsebut mendikbud sudah tahu ,Negatif
458,sebagian menganggap terobosan marketplace guru cukup menjanjikan dalam merekrut tenaga pendidik dan mempercepat pengangkatan guru honorer menjadi asn  ,Positif
459,mungkin sebagian org menganggap tak penting tp penamaan program serta istilah marketplace rasanya kurang elok dipakai guru yang merupakan org tua ke kita baiknya ada istilah lain yg lebih sopan dan menghargai pahlawan kita ini ,Negatif
468,tanggapan ilc soal marketplace guru bagaimana nih,Negatif
470,marketplace guru itu aplikasi seperti gojek ya ,Negatif
471,hari ini akan kucatat sbg hari bermaknaku dlm hidup dr kemaren selalu seliweran di medsos ttg marketplace guru lah guru yg ga sejahtera lah anak pendidikan yg nyesel jd guru lah dll yg ngebuat aku pun kembali mempertanyakan kok kamu mau si jd guru tapi hari ini ,Negatif
472,jadi ada website marketplace untuk jualbeli konten video chikan di tempat publik yg ramai amp divideoin diemdiem video ini diambil di jepang korsel taiwan amp tiongkok yg dianggap guru komunitas itu si cowo berkacamata di foto ini amp dia yg punya  website tsb ,Negatif
475,marketplace guru sedangkan masih banyak guru yang butuh perhatian alangkah baiknya kalo pak menteri lebih fokus kepada guru honorer yang belum mendapatkan sk kebijakan terhadap guru akan menentukan kualitas pendidikan kita kalau kesejahteraan guruguru kita masih memprihatinkan gemana kualitas generasi muda kita semakin berkualitas sdm guru semakin baik pendidikan kita partai amanat nasional pan menyoroti kebijakan marketplace untuk guru yang digagas oleh menteri pendidikan budaya riset dan teknologi menristekdikti nadiem anwar makarim kritikan dan masukan yang ada merupakan perhatian khusus partai berlambang matahari itu terhadap peningkatan kualitas dan kesejahteraan guru ,Negatif
484,permasalahannya adalah bnyk guru honorer yg belum diangkat eh malah bikin marketplace kacao bgt,Negatif
492,gara marketplace guru anak gue yg dari kecil citanya ingin jadi guru skrng gk mau jadi guru,Negatif
496,si raja bohong dah lebih dulu malaksanakan marketplace ini ketika capres  dengan janji guru honorer di asn kan dan berhasil jadi presiden tp gurunya tetap honor ini mau di jual lagi alamak ,Negatif
497,marketplace guru jadi terlihat seperti pasar dimana sekolah bisa memilih siapa calon gurunya ini berpotensi memunculkan subjektivitas dari sekolah dan stakeholder sehingga mengesampingkan kualitas guru sesuai harapan pan desain kualitas dan nasib guru harus jadi yang utama,Negatif
498,ada yang lebih penting dari sekadar marketplace guru nasib para guru masih banyak yang sangat memprihatinkan dengan status honorer dengan gaji yang tidak layak bahkan sekjen pan eddy soeparno juga mempertegas sesuai prinsip pan agar jangan terjebak di kesalahan yang sama ,Negatif
502,dengan marketplace sistem perekrutan guru akan lebih fleksibel  ,Positif
503,belikan bahkan pengamat pendidikan doni koesoema melihat bahwa gagasan marketplace guru ini seperti gojek siapapun bisa jadi sopir gojek asal punya sim lalu apa lah arti guru saat ini sudah terlalu banyak ketidakadilan yang guru alami sebagai mahasiswa dari program,Negatif
504,di mana jika pihak sekolah membutuhkan guru bisa langsung mencarinya di marketplace guru dan memilih guru sesuai dengan kebutuhan sekolahnya ide tersebut tentu saja menuai perdebatan pihak guru merasa tidak dihargai karena dianggap sebuah barang atau jasa yang dapat diperjual,Negatif
506, marketplace guru solusi atau degradasi halo warga pendidikan ekonomi salam perjuangan salam demokrasi bagi kita semua dewasa ini dunia pendidikan dihebohkan oleh ide baru yang di keluarkan oleh menteri pendidikan kebudayaan riset dan teknologi nadiem makarim ,Positif
508, ini merupakan tanda bahaya terjadinya liberalisasi komersialisasi dan degradasi profesi guru namun yang paling berbahaya adalah logaritma dasar pada platform marketplace yang mengatur penempatan guru,Negatif
509, dalam rapat di dpr tersebut direktur jenderal guru dan tenaga kependidikan nunuk suryani menyatakan marketplace ini berupaya menjawab masalah redistribusi guru pppk artinya gagasan ini mengasumsikan bahwa seleksi pppk sebagai pasar guru,Negatif
510, untuk mengurus perekrutan guru marketplace menteri nadiem menyampaikan bahwa guru yang lulus ujian pppk sejak awal memang tidak dijamin akan mendapat penempatan pernyataan ini mengagetkan banyak guru karena sejak awal mereka merasa bahwa bila lulus pppk berarti akan,Positif
511, melalui marketplace guru ini akan dikunci hanya untuk gaji guru pppk hal yang paling dikhawatirkan sebenarny adalah seleksi yg tak adil amp tdk transparan di level sekolah untuk para calon yang akan ditempatkan yang terdiri atas guru lulusan p dan lulusan ppg prajab,Negatif
513, seleksi pppk terutama mereka yang p masalah lain adalah perihal pembiayaan atau penggajian guru pppk pemerintah pusat menyatakan akan langsung memberikan anggaran penggajian guru pppk melalui marketplace guru ini ke sekolah,Negatif
514, pembuatan marketplace guru justru mengambil otoritas pemerintah daerah dalam menggaji guru pppk dan mengambil alih sebagian porsi perekrutan guru pppk dari pusat ke sekolah meskipun marketplace guru ini hanya menjadi tahap lanjutan setelah para guru tersebut lolos ,Negatif
516, degradasi guru marketplace guru sebenarnya lahir dari ketidakberdayaan pemerintah pusat dan pemerintah daerah untuk berkoordinasi dalam menuntaskan kebutuhan guru pengajuan kuota pppk guru oleh daerah selalu berkisar separuh dari yang diajukan pemerintah pusat,Negatif
522,bukan marketplace guru tapi ruang talenta guru wkwkwkwkwkwkwk,Negatif
523,marketplace guru diharapkan bisa menyaring guru yg lebih berkualitas semakin berkualitas guru pasti harga atau penghasilan mereka jdi semakin layak amp bagus juga karna ada reviewratingbintang yg dijadikan acuan masyarakat,Positif
524,jujur saja soal marketplace guru ini bukannya jelek tapi belum dibutuhkan kalau kaidah ushul fiqh nya menghilangkan keburukan lebih utama dari mendatangkan kebaikan sebaiknya beresin dulu yang masih kurang sebelum inovasi yang bagusbagus,Negatif
525,kritik marketplace guru ala nadiem makarim ,Negatif
528,in a bustling marketplace effectively conveying your web unique value proposition is key to stand out from the competition emphasize the benefits that set your productservice apart lets explore some valuable insights from marketing guru david ogilvy   ,Negatif
530,menteri panrb abdullah azwar anas merespons usulan mendikbud nadiem makariem soal marketplace guru apa katanya ,Negatif
531,namun bagaimana dengan guruguru lainnya yang tidak terdaftar di marketplace karena tidak memenuhi syarat tertentu apa ukuran seleksi seorang pendidik guru untuk bisa mendaftarkan diri di marketplace guru,Negatif
532,dengan adanya marketplace guru honorer sudah tidak ada lagi semua kesejahteraan akan terjamin karena mereka semua adalah pekerja jika kotraknya habis tinggal daftar lagi di marketplace,Positif
534,sumsel  tujuannya bagus untuk menuntaskan kekurangan guru di indonesia tapi program keranjang belanja guru marketplace guru ide mendikbudristek menuai prokontra ,Negatif
535,menurut kalian sistem marketplace guru tuh banyak positif atau negatifnya siapa aja boleh reply ya kalo bingung sistem ini kaya gimana bayangin kalian punya beberapa barang di keranjang app olshop terus kalian mau checkout barang itu ,Negatif
536,sepertinya gak marketplace deh tapi konsepnya kayak gojek alias gurunya diorder buat ngajar besok order guru lain lagi dst wkwkwk,Negatif
537,fraksi pks dprd sumut tak setuju kemendikbudristek pakai istilah marketplace guru ini alasannya  via ,Negatif
538,jangan lupakan rencana marketplace guru yang questionable buruh aja yang sering dianggap rendah gak mau diperjualbelikan jadi komoditas seperti budak ini malah mau bikin guru jadi komoditas layaknya budak ,Negatif
539,sebagian menganggap terobosan marketplace guru cukup menjanjikan dalam merekrut tenaga pendidik dan mempercepat pengangkatan guru honorer menjadi asn namun sebagian masih sangsi ,Negatif
542,boleh tolong jelasin ga masalah ini sama masalah marketplace guru aku soalnya masih belum paham awal masalah sampe ke puncak skrg,Positif
543,  diskusi  polemik marketplace atau lokapasar guru apa baikburuknya dan seberapa mampu untuk mengatasi problem guru honorer ,Negatif
545,menteri pendidikan kebudayaan riset dan teknologi mengusulkan sistem perekrutan guru yang diistilahkan dengan marketplace guru hal itu menuai beragam reaksi dari masyarakat terutama para guru bagaimana keramaiannya ,Positif
546,kontroversi marketplace guru benarkah efektif untuk perbaiki nasib guru honor ,Negatif
547,setelah aku baca marketplace guru itu ternyata semacam linkedin buat menghubungkan guru dan sekolah yg membutuhkan tenaga kerja pk juga nyelamatin kita dr honorer yang honornya ga seberapa walaupun ttp repot dan susah ,Negatif
549,respons marketplace guru pan soroti ketimpangan dan kesejahteraan ,Negatif
550,topik diskusi pagi ini polemik marketplace atau lokapasar guru apa baikburuknya dan seberapa mampu untuk mengatasi problem guru honorer berikut guru besar upi bandungpengamat kebijakan pendidikan prof cecep darmawan      ,Negatif
552,pga crafting is underway for draftkings reignmakers time your pack openings with our pack guru events that occur before you open your pack affect the odds of what you could receive ,Negatif
553,belum juga memahami konsep k buku tematik udah ganti aja kurmer belum memahami apa pk belum paham ppg udah ada aja guru marketplace ,Negatif
554,itu kn bu cthrine  ap slhnya joget ko enek kn yg bkin kbjkn staf khusus mnteri eselon tinggl teken  marketplace guru yuh jadi yuh ancur,Negatif
557,marketplace guru diklaim merupakan basis data yang berisikan profil guru ,Positif
560,marketplace guru hanya akan memudahkan sekolah yang membutuhkan tenaga pendidik ,Positif
562,ini kalau beneran ada marketplace guru yang jadi pembelinya siapa sih apa kepsek atau dinas pendidikan kalau diantar dua itu wih bisa cuan besar itu mereka tinggal kasih pelicin udah bisa dicheckout sama dinas atau kepsek,Negatif
563,hidup lagi capekcapeknya baca berita tentang marketplace buat guru,Negatif
564, rencana ini berpotensi diskriminatif karena hanya terbuka bagi guru honorer yang lulus seleksi pppk amp ppg prajabatan guru honorer yang tidak lulus seleksi belum dapat diakomodir skema ini inilah yang membuat kebijakan marketplace tidak berdampak pada permasalahan yang ada,Negatif
565,namun sayangnya wacana ini dinilai tetap tidak menjawab persoalan guru yang sudah ada sebelumnya seperti kualitas guru dan belum meratanya distribusi guru menurut ada beberapa hal yang perlu diperhatikan jika kebijakan marketplace guru dilakukan,Negatif
566,singkatnya marketplace guru ini menjadi tempat yang dapat digunakan guru dan pihak sekolah dalam mencari pengajar yang dibutuhkan di sekolah itu proses rekrutmen guru diklaim akan lebih mudah dan membuat sekolah mendapatkan guru sesuai kebutuhan,Positif
567,sebelumnya apa sih marketplace guru itu marketplace gagasan ini adalah tempat atau wadah untuk semua guru yang dapat mengajar wadah ini menjadi basis data yang dapat diakses untuk semua sekolah yang ada di indonesia,Positif
568,apakah kamu sudah mendengar tentang rencana mendikbudristek tentang marketplace guru wacana yang disebut sebagai inovasi ini sayangnya tidak menyelesaikan permasalahan guru indonesia bagaimana bisa simak penjelasannya di utas ini ,Negatif
571,guru di indonesia sebenarnya ada harga dirinya nggk sih marketplace guru itu guru apa barang dagangan yang kalau tidak ramah dan tidak sesuai bakal di rating bintang satu   ,Negatif
572,sudut pandang menyoal marketplace guru  bersama prof dr h cecep darmawan  pengamat kebijakan pendidikan upi ,Negatif
574,menteri rasa endorse dengan marketplace buat guru ,Negatif
575,semoga marketplace nya ntar gak dibanjiri produk cina kayak yang di marketplace barang online lol lagipula seperti di artikel isu besarnya bukan sekolah tidak dapet mencari guru lebih karena guru honorer melimpah ruah tapi tidak pernah diangkat,Negatif
578,lanjutan permasalahan mengenai guru salah satu solusinya adalah dengan pembuatan marketplace untuk guru marketplace untuk talent guru di mana akan ada suatu tempat di mana semua guruguru yang boleh mengajar masuk ke dalam sebuah next,Positif
579,lanjutan database guru atau living database guru agar tdk sama seperti platform jual beli barang tegas lanyalla untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun marketplace next,Negatif
580,lanjutan bersifat living dan updated tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa cari platform yang namanya lebih elegan sebagai misal guruku next,Negatif
581,lanjutan gratis karena memang niatnya harus sebagai solusi kementerian jelas lanyalla syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang next,Negatif
585,marketplace guru gagasan nadim makarim disorot dpr masalahnya apa kok malah ciptakan aplikasi  kabar id  prabowo mahfud md nung hujan adhd shopeepay gerindra ganjar anies,Negatif
586,marketplace guru amp kontroversinya  ,Negatif
589,tanggapan berbeda ketua dpd ri aa lanyalla mahmud mattalitti dengan anggota komisi x dpr ri terhadap gagasan mendikbudristek terkait marketplace guru  ,Negatif
590,pelajari apa ya dunia pendidikan emang sebobrok itu sekelas sekolah swasta islam yg gede aja begitu ya gmn yg laen gatau deh tp emg udh rahasia umum dan jd konsekuensi kl mo jd guru dimata mentrinya aja gada harga dirinya profesi guru segala marketplace marketplace wkwkwk,Negatif
592,dunia pendidikan saat ini tengah ramai memperbincangkan rencana program marketplace guru yang digagas menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek nadiem makarim ,Negatif
594,nadien makarim bikin ulah lg istilah marketplace guru otak mendikbud ini otak bisnis tp yg kali ini ngelantur sama ngelanturnya dgn kebebasan sex asal mau sama mau apa mmg dia merangkap sbg human trafficking kah  masih patut jd mendikbud  ,Negatif
595,tidak perlu gunakan kalimat seolaholah gagasan ini spt marketplace jual beli barang guru ini manusia terhormatjgn disamakan barang atau jasa cari platform yg namanya lebih eleganmisal guruku database guru atau living database guru agar tdk platform jual beli barang,Negatif
596,syarat ketiga saya minta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated,Negatif
599,lanyalla minta menteri nadiem mengganti nama platform marketplace guru  rusia,Negatif
600,syaiful huda nilai marketplace guru tak selesaikan akar masalah tenaga pendidik indonesia ,Negatif
611,mau pindah saja data bisa nyangkutnyangkut inilah dapodik belum selesai lahir marketplace guru satu masalah belum usai diselesaikan dengan menciptakan masalah baru,Negatif
