,Komentar
833,@Bidadaribidada5 @futureunggie bukannya tujuan adanya marketplace ini adalah supaya tidak ada lagi guru honorer yang dibayar seadanya ya mba? cmiiw
834,"Mendikbud Ristek Nadiem Anwar Makarim mengatakan, marketplace guru dan dua pilar solusi lain diharapkan menjadi jalan keluar permanen dalam memenuhi formasi guru di Indonesia. https://t.co/62u7snxIJf"
835,"[#SEKILOFIP : SERBA-SERBI SISTEM MARKETPLACE GURU] 

Halo Mahasiswa FIP👋

Kali ini kami menyajikan sekilas informasi tentang konsep marketplace untuk guru, gagasan yang diungkapkan Mendikbud Ristek, Nadiem Makarim untuk memenuhi formasi guru di Indonesia. https://t.co/Io8WFW8c0X"
836,"Ia menilai, mekanisme itu lebih efisien mengisi kekosongan guru ASN PPPK di sekolah.

📸: Freepik/syarifbit

#KeTitik #KeTitikNews #Berita  #stayinformed #shortnews #ToThePoint #news #Indonesia #BeritaIndonesia #Guru #PPPK #Marketplace"
837,"Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nadiem Makarim menerapkan rekrutmen guru Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) melalui sistem marketplace mulai 2024. Dengan platform tersebut, semua sekolah dapat mengakses guru untuk mengajar di sekolah. https://t.co/1xofFmdPxO"
838,"Semenjak baca perubahan sistem perekrutan guru pns yang dimana harus ppg dan tes baru bisa masuk marketplace nya pak nadiem, malamku di penuhi ovt dan stress berat gmn ke depannya 😭😭"
839,"Kebijakan Pendidikan 2024, Guru Dijual di Marketplace

https://t.co/ENczxI7CHu"
840,"@worksfess 24 tahun, blum lulus semester 12 dan aku anak pendidikan, dapet info taun depan ada marketplace guru. Trus kamu ngeluh?"
841,"Akankah ada fitur flash sale juga di ""marketplace guru""? #marketplace"
842,"""Guru-guru honorer yang sudah lulus seleksi, mereka yang mengikuti seleksi untuk menjadi calon guru ASN. Semua guru honorer yang lulus seleksi dan lulusan PPG pra jabatan ini bisa mendaftarkan diri dalam marketplace,"" ujar Nadiem Makarim

#PikiranRakyat #PRMN #marketplace #Guru https://t.co/7OvIKwx7L1"
843,"Dengan bantuan teknologi, nantinya database guru dapat diakses oleh sekolah mana pun yang sedang merekrut talenta melalui marketplace tersebut.

#PikiranRakyat #PRMN #marketplace #Guru https://t.co/lL6J7oiRTb"
844,"Layaknya 'online shop', marketplace guru memungkinkan talenta dipesan oleh institusi pendidikan sesuai formasi yang dibutuhkan.

#PikiranRakyat #PRMN #marketplace #Guru https://t.co/pL5GLP6ijV"
845,"""TOKOPENGAJAR""
.
Marketplace guru adalah suatu wadah bagi para guru untuk menemukan maupun ditemukan sekolah yang membutuhkan talentanya untuk mengajar. https://t.co/WjOWhFqYrr"
846,Kemendikbud Ristek rencana untuk mengubah sistem rekrutmen Guru PPPK melalui marketplace #R12KBFM https://t.co/q2ukpZzSlS
847,"@redkitepad @GPTGuru_ How does GPT Guru enable users to create strong and user-friendly NFT marketplaces, and what sets Guru's offerings apart from other similar marketplaces in terms of unique features and functionalities?"
848,"Koordinator Perhimpunan Pendidikan dan Guru (P2G), Satriwan Salim memberikan tanggapan terhadap rencana Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi RI (Kemendikbudristek) yang akan membuat marketplace, dalam upaya mengatasi sistem perekrutan… https://t.co/YqGuF5yBuZ"
849,"tersedia di marketplace guru
segera di check out https://t.co/40hbS1eJGs"
850,"Pagii Kamis pertama di Bulan Juni, semoga ada kabar baik buat Guru di Indonesia.

Mengenal Marketplace Guru, Gagasan Nadiem Makarim untuk Atasi Masalah Perekrutan Tenaga Pendidik https://t.co/XsnB8myrlK"
851,"“Marketplace untuk guru adalah suatu database yang nanti akan didukung secara teknologi, di mana semua sekolah ini bisa mengakses siapa saja yang bisa menjadi guru dan siapa yang saya mau undang untuk menjadi guru di sekolah saya,” ujar Nadiem Makarim.
#PikiranRakyat #GuruHonorer https://t.co/wIh3qnfDMx"
852,"Apakah sistem app marketplace guru dari pak 
@nadiemmakarim
 bisa diterapkan di politik dan mencegah nepotisme di Indonesia?

Dimana seluruh rakyat Indonesia dapat mengakses data calon2 pejabat dan juga hasil kerja para pejabat. Dan fitur 'rating dari rakyat'

#Indonesia #DPR"
853,"@collegemenfess gue mau nanya deh, misalkan bener dibikin kayak marketplace, apakah guru itu bisa nentuin tarif mereka sendiri (?) jatohnya kayak web2 yg nyediain freelancer gitu (?)"
854,"Marketplace itu untuk transaksi jual beli barang ini untuk rekrut guru dan lainnya. 
Ko rasa rasanya kurang tepat buat rekrut guru menggunakan market place, alangkah baiknya aplikasi khusus aja bukan market place yang secara bagi saya atau orang awam buat jual beli online"
855,@BankMegaID diisi voucher marketplace guru
856,"Mengenal Marketplace Guru, Ide Baru Mendikbudristek untuk Mengubah Nasib Guru Honorer di Masa Depan
 https://t.co/hH7u8r97GF"
857,"Dari jauh"" hari sudah dikasih tau tapi mereka merasa aman sekarang ada Marketplace Guru baru sadar, yang muda"" jadikan ini pembelajaran ya🥺✌️ https://t.co/d8X9wn7zsR"
858,"Ragam Tanggapan Soal Marketplace Guru yang Nadiem Makarim Tawarkan, Warganet: Dapat Cashback Dong Ya? https://t.co/SL7gbiu8xl"
859,@rijalf justru marketplace ini untuk mengakomodir semua lokasi termasuk 3T yg selama ini tidak diminati guru2 krn ada pola insentif dan sekolah bisa lsg mencari guru yg dibutuhkan. Jaringan bukan masalah utama selama database lengkap dan jelas
860,@agungtrainer @Kemdikbud_RI @PBPGRI_OFFICIAL @icharis @Darmaningtyas @iwanpranoto @Itjechodidjah @zanatul_91 @islah_bahrawi Marketplace guru adalah contoh bhw liberalisme tlh merasuk dlm pendidikan. Bukti bhw guru tlh diposisikan sbg buruh sekaligus komoditi. Nilai Pancasila dlm masyarakat dirusak olh elite politik
861,"Bakal Ada Marketplace Guru pada 2024, Ini Syaratnya yang Harus Dipenuhi https://t.co/is939DB2P1"
862,"@eka_harijanto @Kemdikbud_RI @PBPGRI_OFFICIAL @icharis @Darmaningtyas @iwanpranoto @Itjechodidjah @zanatul_91 @islah_bahrawi Soal Pancasila, itu tinggal tulisan saja. Pejabat pemerintah, pemimpin parpol,menteri, dan mereka yg seharusnya jadi teladan sudah menggantinya dengan kapitalisme, liberalisme, internasionalisme, lihat  istilah marketplace guru. Apa ide itu dari Pancasila?"
863,"POPULER HARI INI: Serba-serbi Marketplace Guru hingga Mahasiswa Kelaparan Nekat Makan Karya Seni: Berikut lima artikel populer di kalangan pembaca https://t.co/f85wATHORZ pada Kamis, 1 Juni 2023. Simak artikel lain selengkapnya. https://t.co/gyEfVUtvDj"
864,"@gibran_tweet gatau saya harusnya ga ngetag anda tapi gimana yaa itu yg marketplace guru :"""
865,"dibalik kontroversi penyebutan ‘marketplace’ yang terkesan menjadikan guru sbg ‘komoditas’, substansi gagasan dari kebijakan ini cukup menarik"
866,"marketplace guru ini kebijakan yg pada nantinya akan memungkinkan guru untuk masuk ke database. nantinya, database ini akan bisa diakses oleh semua sekolah yang ada di indonesia. dengan ini, sekolah bisa ngerekrut guru kapan aja (utk lebih jelasnya, temen2 bisa research)"
867,"dari semua pembicaraan ngalor ngidul kami pada saat itu, ada satu topik yg cukup relate dgn dinamika saat ini. yaitu ksejahteraan guru, setelah adanya kebijakan perekrutan guru pake sistem marketplace"
868,buset buset marketplace guru
869,@byyy_me Tapi kalo semisal ada solusi lain Selain 'MarketPlace' untuk mengatasi permasalahan terkait guru honorer dan persebaran tenaga didik maka solusi tersebut sangat dibutuhkan keberadaan nya... 🙏
870,"Entahlah ya, apa kita yang terlalu terjebak dengan istilah ""marketplace"" jadi seakan lupa tujuan utamanya yaitu menghapus siklus guru honorer.
Atau kita juga yang merasa sudah ""suci"" karena penambahan huruf S.Pd di nama belakang jadi gamau diberlakukan spt pekerja pada umumnya."
871,Tolong pak nadhiem yang bikin kebijakan marketplace guru tu ditiadakan aja deh. Namanya aja udah nggak bikin nyaman. Apalagi ntar programnya. #marketplace #nadhiemmakarim
872,Belum selesai dengan P3K udah ada aja MarketPlace Guru. Halo apa kabar teman-teman pendidik?.
873,"@Bidadaribidada5 Udah proses kuliahnya gk mudah, lulus kuliah kerja juga gaji gak seberapa.. Skrng ada lgi marketplace merasa gaada harga diri banget jd seorang guru😥 bahkan mewajari kalo beberapa orang merasa salah ambil jurusan pendidikan😑"
874,"@Prambors Cari barang di marketplace ❌
Cari guru di marketplace✅"
875,"@Czalmx Cari barang di marketplace ❌
Cari guru di marketplace ✅"
876,"Nanges bangett, baru juga gue mulai bangun karir, udah ada lagi soal marketplace guru.... Ini konsep nya mau gimana sih:') trs nanti bayarannya via shopeepay later gitu? Wkwkwkwk MAKIN RUWET AJA DUNIA PENDIDIKAN"
877,"Menurut Nadiem Makarim, marketplace guru ini akan membuat sekolah bisa melakukan rekruitmen realtime. Setelah direkrut, guru tersebut akan digaji dari pusat langsung, dananya dikirim langsung ke sekolah seperti dana bos. 

Prtnyaany siapa yang megang kuncinya 🤣

#eaaa @pppkguru"
878,"Di buat mikir, gmn nasib anak bangsa kedepannya jika tidak ada lagi orang yang mengambil pendidikan karena adanya marketplace guru"
879,"Heboh Marketplace Guru, DPR Usul Diganti jadi ‘Ruang Talenta’

https://t.co/UUWtx4Cbzl"
880,Kocak bener dengan marketplace masyarakat bisa liat gurunya kompeten apa nggak. Kaya selama ini gak liat praktik KKN pejabat publik aje dan karena itu udah sehari-hari di mari jadi ywd life goes on lah sakarepmu. Ini lagu masyarakat ngurusin guru sebuah sekolah?
881,"Tahun politik, NM ada buzzernya apa gimana yak? Di tiktok rame ngomongin marketplace yang kaya asal cuap-cuap: menghilangkan nepotisma lah, kaya linkedin jadi masyarakat bisa lihat kompeten apa gak lah, bawa2 soal guru predator lah (kaya ada ngaruhnya kali pake MP)"
882,"Berhubung ini rame bgt.
Mungkin kalo emg itu satu2nya cara, alangkah lebih baik kalo konsepnya kaya 'linkedln', bukan 'marketplace guru'. Menurut saya jg ini blm bisa mengatasi kesejahteraan guru2 honorer, apalagi yg sudah lanjut usia. Potek bgt lihatnya 💔"
883,"Ya Allah. W ambil aja ga si ini jurusan pendidikan yang ibuk w tawarin, tapi ini yang masalah MARKETPLACE Guru. Bikin w ktar ktir"
884,"terimakasi bg aldi taher, karnamu fyp marketplace guru sudah tergantikan wkwkw"
885,"Pengertian Marketplace Guru, Solusi Memudahkan Guru Honorer Diangkat Jadi ASN PPPK https://t.co/qXK8utHVsy"
886,jelek bgt guru jdi marketplace dahhh👎🏻
887,"Penjelasan tambahan Marketplace Guru ada di tweet kakak ini
https://t.co/G22XMfK2EA"
888,Ternyata Sistem Rekrutmen Guru PPPK Dengan Marketplace https://t.co/OYUL0QeEOH
889,"Mendikbud Nadiem Makarim Akan Pakai Sistem Marketplace untuk Perekrutan Guru, Berikut Penjelasannya

Selengkapnya klik link di bawah ini
https://t.co/02UzQQtZnF"
890,"Terbaru! Mendikbudristek Nadiem Makarim Bakal Terapkan Sistem Marketplace untuk Rekrutmen Guru, Berlaku 2024 https://t.co/6zjxgpydyA"
891,males bgt denger ttg marketplace guru. jujur makin eneg dengan country ini wkwk… dah paling bener ngepet aja lu semua🤣
892,Apaan lagi ini marketplace guru? Astagaaa 😭
893,"Gaji 600 rb/semester itu gaji atau apa? Jangan rendahkan guru dengan kenapa guru dipersulit. Ya emang harus sulit. Kalian akan mendidik masyarakat. Kalian salah satu pondasi pembangun negara.
Saya juga berharap, tindakan menteri bukan hanya sekedar membuat marketplace saja."
894,"Miris tapi ini kenyataannya. Lalu ditengah kondisi yang buruk ini, marketplace menurut saya langkah yang bijak yang diambil oleh lembaga eksekutif. Jangan liat hanya namanya marketplace jadi kalian anggap guru itu barang. Liat apa tujuannya... Kalian mengaku guru."
895,"Lalu marketplace ini menurut saya solusi yang baik, kenapa baik. Apakah lantas dia lulusan keguruan pantas menjadi guru? Tidak. Ini mayoritas yang saya temukan, mahasiswa memilih jurusan keguruan karena mereka tidak lulus atau menanggap jurusan keguruan ini mudah."
896,"Saya setuju dengan marketplace guru. Mungkin pahit untuk mengatakannya. Tapi banyak lulusan keguruan yang lulus tiap tahunnya. Anggap saja ada 5 universitas tiap daerahnya, tiap tahunya mereka meluluskan satu angktan yang mungkin 100 lebih atau kurang..."
897,"ndlogok marketplace guru dadi ovt kerjo seko saiki, mana fyp metune yo nekra ppg yo marketplace jingek dadi guru kudu ngenteni di cek ot mbe sekolahan"
898,"bodoh, kesal banget gue dengar berita marketplace guru. Guru ini kek barang, guru dianggap murahlah... Hei baca ini ya.
Pendidikan di Sekolah itu terlibat dalam membentuk pola kehidupan masyarakat, nah disekolah guru yang sebagian dalam hidup seorang individu membentuk karakterny"
899,"@peregrinee21 Ahhh bu gulu ndak mantaplah, tak kasih bintang 1 nanti di marketplace guru"
900,"baik buruknya nanti sistem marketplace yg bakal diterapkan ke guru, tp penamaan marketplace untuk sebuah profesi rasanya.....hmmm bintang 5 nya ka :)"
901,Marketplace guru udh kaya jualan online shop
902,"Bagi yang gatau LinkedIn, Fiverr, Upwork, dsb. Itu adalah website yang menghubungkan ""talent"" dan ""perusahaan"" yang membutuhkan. Jadi apakah website2 diatas juga bisa disebut ""Menjualbelikan manusia""?.   Marketplace guru gk seburuk yg kalian bayangkan ygy."
903,"Agak miris sih lihat komentar2 Netizen tentang Marketplace Guru. Woylah, jangan samain dengan Tok*pedia atau T*nder.  Konsepnya itu sama seperti LinkedIn, Fiverr, Upwork, Glints, dsb. 

Plis lah, kecewa boleh, pembodohan publik jangan."
904,"Menteri pendidikan gak usah aneh2 deh buat program seperti marketplace guru. Solusi sejahtera guru itu simple;
1. Non S.Pd. dilarang daftar guru
2. Hapus sertifikasi guru
3. Naikkan gaji guru"
905,"lagi garap skripsi terus liat berita mengenai marketplace guru. jadi guru udah kek dagangan, sekolah tinggal checkout guru eehhh yang di CO sanak saudaranya sendiri. terus nasib guru yang gak punya apa2 yang niatnya mau mengabdi mengajar harus jadi pengangguran gitu?😞"
906,Busyet marketplace guru
907,Apa Itu Marketplace Perekrutan Guru? Begini Penjelasannya! https://t.co/1jVr9624JV https://t.co/I7TgEjdo44
908,"Nadiem Makarim akan Rekrut Guru Melalui Marketplace, Gimana Caranya?
 
#PramborsNews 
https://t.co/Y5hRqIRgKn"
909,"Unpopular opinion: 
Disaat orang lain pada hujat pak Nadim tentang kebijakan marketplace guru, entah kenapa aku yakin maksud beliau itu baik. Mungkin memang istilahnya aja yg kurang tepat seakan tidak menghargai guru, tapi all of that, aku yakin beliau punya niat yg baik."
910,@Nihann_01 Guru masuk marketplace mantap hehehe
911,PGRI Marketplace guru adalah solusi percepat ketersediaan guru sesuai dengan kebutuhan https://t.co/E9K0vJEJdD
912,"Database guru yang kompeten, profesional dalam sistem marketplace, yang akan diberlakukan mulai 2024 adalah positif https://t.co/Z3wiKeau9H"
913,"Ditengah banyak konten2 media sosial guru dan calon guru yang kontra tentang rencana tentang marketplace guru, ternyata ada komentar dari Kang Dede Yusuf selaku Komisi X yang menyambut dengan positif. https://t.co/TjrMh8cwyT"
914,"@hiphipyipii Sedinya Ly, sistem kaya marketplace ini uda diterapin di ""agen"" guru les tempat aku ngajar 🥲 jadi ada profile/database guru, calon murid nyari guru, kita apply, ya uda tar dipilih suka2 dah"
915,"Marketplace guru disambut positif oleh Ketua PGRI Jawa Timur Teguh Sumarno.

Menurutnya, dengan lebih dari 1 juta guru untuk lolos program PPPK adalah niat baik pemerintah. https://t.co/sO4LUw7DdB"
916,PGRI dukung program marketplace guru untuk percepatan ketersedian guru sesuai kebutuhan https://t.co/1Gky4h4wXC
917,Reaksi Mendikbud Diminta Penjelasan soal Marketplace Guru https://t.co/JvCfUppsEN
918,"Marketplace guru menjadi salah satu solusi yang ditawarkan Nadiem Makarim dan Kemendikbud Ristek yang bertujuan untuk memenuhi kebutuhan guru di Indonesia.
https://t.co/Q9E3yAZuWS"
919,"Jadi dengan marketplace tersebut :
data talent guru akan lebih terdokumentasi dengan baik, sekolah bisa langsung mencari guru sesuai kebutuhan, guru pun bisa mencari formasi sesuai keahlian dan lokasi yang diharapkan."
920,"Jadi ""marketplace"" itu istilah umum yg dipake untuk platform yg mempertemukan ""demand"" dan ""suplly"". Hal ini untuk memecahkan kebuntuan terkait  kebutuhan guru, formasi guru, dan kebutuhan sekolah https://t.co/rNmsy2uyBm"
921,"Pada rame ngrespon soal marketplace guru yg disampaikan di RDP komisi X DPR. Yg bikin mara mara adl kata ""marketplace"" tanpa membaca lebih lanjut. Padahal.... https://t.co/81WFUsgtSy"
922,"Marketplace Guru
https://t.co/QQ4OWkXeDN"
923,"Lagi rame konten ""Marketplace Guru"", nemu komen agak laen.
Hadehhh mba Zainab, kualitas sdm masa iya harus jadi tanggung jawab guru lagi? Kerja guru harus 24 jam kah sampe ngawasin muridnya pas di rumah? Lalu fungsi keluarga untuk apa? 🫠 https://t.co/KOa1KOtsIt"
924,"Nadiem Makarim Buat Sistem Rekrutmen Guru PPPK Melalui Marketplace, Begini Respons DPR https://t.co/7m3G4yYJ3r"
925,Guru diposting neng marketplace?😂
926,"Pr baru ni, ada marketplace buat guru
Ayo pelajari dulu deh baru berani kritik xixi"
927,"@iyukas @urfavyeoja @collegemenfess lah mereka yg terdaftar di ""marketplace"" itu juga bukan sembarangan orang. mereka yg terdaftar kan bener"" guru yg punya kompetensi tinggi dan tentunya punya jam terbang juga

kalopun 'misal' kepsek nya ambil org terdekat dia, yakan tetep yg dia ambil org yg kompeten juga."
928,"NEWS Terpopuler: Ekspor Pasir Laut Dibuka, Rekrutmen Guru Lewat Marketplace https://t.co/tWPUw2m230"
929,"NEWS Terpopuler: Ekspor Pasir Laut Dibuka, Rekrutmen Guru Lewat Marketplace https://t.co/lCfHhXpqgU"
930,"Solusi Atasi Kekurangan Tenaga Pendidik ala Nadiem Makarim, Salah Satunya Bakal Ada Marketplace Guru https://t.co/SJscAeDUNp"
931,Ketua PGRI Jatim Dukung Program Menteri Nadiem “Marketplace Guru” target 1 juta guru lolos PPPK https://t.co/QIGbvnmZBM
932,"PGRI dukung marketplace guru
Bagi Teguh, dngn cara apapun dilakukan demi martabat guru &amp; keberlangsungan sukses layanan pendidikan bagi setiap anak didik.

“Jadi, hanya sekolahan yang tahu persis kebutuhan guru dan guru mata pelajaran apa yang dibutuhkan,” ucapnya. https://t.co/xzZKdoAKKW"
933,"Mendikbud Siapkan Sistem Marketplace Untuk Guru, Seperti Apa Sih? https://t.co/WuN1w4HYWF"
934,"PGRI Dukung marketplace guru.
Marketplace guru diangga solusi tercepat untuk memenuhi ketersedian guru sesuai dengan kebutuhan https://t.co/G5lMR477nC"
935,grgr guru marketplace misal nanti snbt lolosnya pil 2 apa ga gue ambil aja ya..
936,"Tak Hanya Guru, Nadiem Makarim Sebut Marketplace Guru Bermanfaat bagi Sekolah: Nadiem Makarim menjelaskan, marketplace guru nantinya akan menjadi basis data yang di mana sekolah bisa mengakses setiap calon guru. https://t.co/7KnWHdWKs5"
937,Tolong dong adain demo soal marketplace guru
938,"@arbipadcom @GPTGuru_ GPT Guru supports the establishment of NFT marketplaces. How do you think NFTs will transform the concept of digital ownership in the future, and how does GPT Guru assist creators in adapting to this new environment?"
939,ok marketplace buat guru/calon guru. jangan lupa checkout ⭐️⭐️⭐️⭐️⭐️
940,"Mendikbud Ristek Nadiem Makarim Bakal Pakai Sistem Marketplace untuk Rekrutmen Guru, Apa Maksudnya? https://t.co/M4X0XGWo1D"
941,"@hengkiraharjo Kalo gini nangis kejer sih😭, mana sekarang ada program apa tuh yang marketplace guru juga wkwk"
942,"marketplace ini bagus sebenernya.

ngak ada lagi guru honorer titipan kepala sekolah 😆

karna syaratnya wajib lulus PPG, lulus P1,P2,P3 PPPK.

kedepan akan berdampak positif untuk kualitas pendidikan."
943,"Marketplace Guru, Sistem Rekrutmen Tenaga Pendidik Solusi atau Masalah Baru? https://t.co/Hw5NOhQ6Ax"
944,Mas Nadiem akan coba proses rekerutmen guru kyk di marketplace https://t.co/sorzQCZ3iY
945,"#NASIONAL 

Mendikbud Nadiem: Marketplace Guru Beri Manfaat Positif bagi Guru dan Sekolah
https://t.co/SnDW3xxa0m

#11N1"
946,"Semakin kesini semakin ngadi ngadi dunia pendidikan di Indonesia. Setelah marketplace guru, apalagi solusi ambyarnya?"
947,"@collegemenfess kalo di marketplace kan yg di co yang paling ""murah"", kl gt ga nyelesaiin masalah gaji guru kecil dong? 😂"
948,"Tangani Masalah Perekrutan Guru, Nadiem Bakal Buat Marketplace Guru?

#marketplace #MarketplaceGuru

https://t.co/IzMnQ9Lbxv"
949,"Marketplace guru nih program yang tidak menguntungkan untuk para guru dan para mahasiswa yang ambil jurusan pendidikan, dimana yang di pilih nanti yang sudah kuliah PPG kalau belum jauh jauh dari di pilih oleh pihak sekolah, kalaupun di butuhkan mungkin di taruh di keranjang dulu"
950,"@collegemenfess Marketplace, check out, emgnya guru barang dagangan apa ya😀"
951,"ini apalagi guru pake marketplace, dikira barang kali anying"
952,"Sistem ini rencananya mulai diberlakukan pada 2024 mendatang secara permanen. Nadiem menjabarkan tiga pilar solusi yang akan diterapkan pada 2024 sebagai sistem rekrutmen guru PPPK. Pertama, konsep marketplace untuk guru."
953,"@collegemenfess ditunggu dlu aja sih, mungkin nanti akan ada istilah baru lagi untuk ""marketplace"" guru ini."
954,Sekolah Ambil guru di marketplace guru bayarnya paylater
955,"Beberapa hari terakhir ramai diberitakan mengenai marketplace guru yang merupakan gagasan dari Menteri Pendidikan Kebudayaan Riset dan Teknologi (Mendikbudristek) Nadiem Makarim.

Tapi apa sebenarnya marketplace guru? Bagaimana sistemnya?  Baca disini ya!
https://t.co/1p5LqBZglU"
956,Ini pada gak ada yg ngomongin marketplace guru ya? Pro dan konsnya how dan dampak buat guru gmn
957,"Semoga nanti di marketplace guru, siswa yg bisa kasih rating &amp; feedback ke guru, bukan kepala sekolahnya. Dulu gw pas sekolah, dengan mata kepala gw menyaksikan ini guru PNS ga bisa ngajar, mata duitan, &amp; digaji lebih besar dibanding honorer yg kualitasnya jauh lebih baik."
958,"Sekarang jamannya checkout Barang di Shoope

Tahun2 depan Checkout guru di marketplace guru👏"
959,"Rekrutmen Guru Lewat Marketplace Mulai 2024, Apa Saja Keuntungannya? https://t.co/8yO7dyxLkZ"
960,"Bagaimana Teknis Marketplace Guru? Intip 3 Poin yang Wajib Diketahui: Penjelasan lengkap terkait teknis Marketplace Guru, program yang diusulkan Mendikbud untuk bantu nasib honorer. https://t.co/NDcSzhVDyh"
961,"@tanyakanrl nih pak mentri, urusin dulu deh guru2 yang ngurus masalah gini gak becus daripada koar2 soal marketplace guru. sedih banget liatnya kalo diposisi orang tua anak itu"
962,"'marketplace untuk guru' ini sebenernya bagus konsepnya, cuma sayangnya orang orang pada fokus sama kata 'marketplace', kesannya kurang pas ya sama orang kita yang cukup perhatian sama nama project gini🧐"
963,@tanyakanrl Ngeliat kek ginian jadi pengen setujuin marketplace guru😭
964,"Marketplace Guru ? 

Dalam mengatasi problematika kualitas dan ketimpangan guru, pemerintah harus memastikan kehadiran guru yang merata di setiap jangkal tanah air Indonesia"
965,Rekrutmen Guru Bakal Lewat Marketplace Mulai 2024 https://t.co/a34xDC1nRP
966,@chyntiaaasari Kak ga mau bahas tentang marketplace untuk guru?
967,"""Marketplace guru""
Dari diksinya saja sudah tidak menghargai guru."
968,marketplace guru? kurikulum merdeka? Makin males gw buat nyelesein skripsi
969,"Marketplace Guru Jadi Terobosan Baru Proses Rekrutmen Ala Nadiem Makarim, Sekolah Bisa Checkout Sesuka Hati 

Tag: iBox, Denny Indrayana, Cawe-cawe, Diabetes, Laurier
https://t.co/V6Ap587CkQ"
970,"Skrg lagi pusing dgn kehidupan pribadi, ditambah lg kepusingan dgn drama p3k yang tak kunjung kelar, ehh nambah lg drama baru marketplace guru((((:"
971,Kita sebagai pekerja tahu maksud marketplace guru adalah untuk database Talent Poll guru.Tapi redaksi marketplace sangat rentan disalahartikan.Apalagi rawan akan praktek Nepotisme dikalangan pendidikan.
972,"Marketplace Guru?
Gk ada kata yang lebih bagus dan terhormat lagi apa ya selain marketplace -_-"
973,"@GameFi_Official @GPTGuru_ GPT Guru enables the creation of NFT marketplaces. What impact do you foresee NFTs having on the future of digital ownership, and how does GPT Guru support creators in navigating this emerging landscape?"
974,Coba itu marketplace guru cenah 👀 🧐
975,"kuliah lagi susah""nya denger berita marketplace guru memang anj!"
976,"Gila gua nyesek bgt sama kebijakan baru menteri pendidikan. 
Marketplace buat guru?? Hah? Speechless"
977,Marketplace guru sepertinya terobosan yang bagus. Tapi mbok ya istilahnya jangan marketplace
978,ni maksudnya gimana y marketplace guru
979,"lagi rame marketplace guru, agak laen emng sistemnya. Udah kayak co shopee aja.. semangat trs guru guru hebat💪🏻"
980,"Gapapa di era guru masuk marketplace
Gue selaku anak fkip kudu tuntasin yg udh apa gue jalankan 
Masalah kedepannya gimana 
Biar urusan Tuhan!"
981,sekarang guru bisa dicheckout lewat marketplace
982,Marketplace Guru?
983,"hidup lagi capek”nya, tbtb liat sosmed ada berita tntg marketplace guru.. yaallah yarabbbbbbb"
984,"ntar kalo udah ada marketplace guru, yang ganteng dan cantik auto langsung di checkout"
985,"Hidup lagi capek” nya kerja serius gaji becanda, tekad harus lulus P3k dengan menyesuaikan syarat Dapodik minimal masa kerja 3 tahun, dll.
Kurikulum merdeka harus dipelajari &amp; diterapkan, Drama P3K belum selesai sudah ada peraturan baru “Marketplace Guru” big hug Guru Honorer🤧😮‍💨"
986,@worksfess Dari kuliah juga sih. Wkwkwk capek2 kuliah pendidikan eh muncul peraturan baru ada marketplace guru. Sebercanda itu
987,"""guru mtk udah sold out, saat ini yg ready stok guru penjaskes aja kak.""

Begitukah konsep marketplace guru tahun 2024?
Maaf kalo salah 🙏"
988,"Kebijakan kemaren kacau jadi ditutup kebijakan baru ni? Denger2 p3k byk yg masih simpang siur? Bukan apa2 nih marketplace jadi ladang buat KKN nambah parah, guru bagus bakal ditarik sekolah yg bagus, guru lain? byk guru marketplace nunggu di co dlu? Sebaran juga makin nggk rata"
989,Marketplace guru teh satu mini proyek bahwa pendidikan kita dibangun untuk industri.
990,"@sbmptnfess Ingat namanya marketplace ""guru"" bukan ""fresh graduate"", bisa jadi ""guru"" disini adalah guru yg udah ngajar atau bisa juga lulusan ppg. Kebijakannya belum jelas, masih dalam proses pengerjaan. Ditunggu saja sembari upgrade diri."
991,Marketplace guru = perdagangan manusia 😱😱😱
992,"@Asheyyylme_ Kalo mau curang itu gampang, semua cara halal, ordal apapun itu bisa diatur semuanya. 
Tapi ngga semua sekolah SDMnya seperti itu. 
Dengan marketplace harapannya calon guru itu bisa lebih meningkatkan skill dan softskill untuk memperbaiki rating agar dilirik oleh sekolah yg butuh"
993,anjir cape bener fypku semua marketplace guru
994,marketplace guru wkwk
995,"@nadiemmakarim
@jokowi
Kami bukan barang dagangan anda mas menteri yg terhormat 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭

kami kecewa dengan kebijakan kebijakan ini bapak 

#guru
#pgri
#guruhonorer
#marketplace 
#indonesia
#kemanusiaan
#presiden
#p3k
#sekolah"
996,"Jujur marketplace guru bikin tmbh bingung mau ambil apa nggk itu PPG prajab, kayak bakal sia2 aja sih?"
997,Marketplace untuk guru ceunah guys
998,"Wacana. Marketplace. Jujurly, belum banyak informasi yang dibaca, hanya membaca dari 2 sumber. Jadi intinya nanti akan ada marketplace yang menampung lulusan ASN dan ppg prajab. Pertanyaan muncul. Pak punten ieumah, misal ada seorang guru yang bekerja di sekolah,"
999,Honorer udh seakan kyk perbudakan ini marketplace guru udh kyk human trafficking jadinya gini amat nyari kerjaan
1000,Marketplace guru?
